Machine,Process,Quality_Label,Filename,ch_0_mean,ch_0_std,ch_0_rms,ch_0_max,ch_0_min,ch_0_peak,ch_1_mean,ch_1_std,ch_1_rms,ch_1_max,ch_1_min,ch_1_peak,ch_2_mean,ch_2_std,ch_2_rms,ch_2_max,ch_2_min,ch_2_peak
M01,OP00,good,M01_Aug_2019_OP00_000.h5,-3.874869543177481,469.4061182277413,469.4221111575517,2252.0,-2012.0,2252.0,34.39363296159351,158.9310982260728,162.6100119046869,2051.0,-1868.0,2051.0,-1014.5148646230916,142.38992515003102,1024.4585405595687,-152.0,-1786.0,1786.0
M01,OP00,good,M01_Aug_2019_OP00_001.h5,-4.080831047232825,469.3369838917128,469.3547247345082,2246.0,-1940.0,2246.0,34.439658128578245,156.54428269044695,160.28787382419142,1932.0,-1887.0,1932.0,-1014.8889029699427,142.39309087887852,1024.8293895578788,-220.0,-1795.0,1795.0
M01,OP00,good,M01_Aug_2019_OP00_003.h5,-4.016683563931298,469.25508444772737,469.27227493950295,2168.0,-2260.0,2260.0,32.2775077528626,140.61105010581082,144.2681701505739,1842.0,-1823.0,1842.0,-1014.7422285007157,136.81332133041488,1023.9236666842202,-216.0,-1672.0,1672.0
M01,OP00,good,M01_Aug_2019_OP00_004.h5,-4.769266291182171,470.19903365382976,470.2232205558883,2324.0,-2022.0,2324.0,32.96749333817829,140.7669421834951,144.57588882207946,2131.0,-1879.0,2131.0,-1015.0247017320736,142.2544501315511,1024.944619825147,-279.0,-1768.0,1768.0
M01,OP00,good,M01_Aug_2019_OP00_005.h5,-5.025476353769084,468.3226581179377,468.34962103030796,2004.0,-2008.0,2008.0,32.63177257275763,143.52404992973763,147.186906650945,2039.0,-1774.0,2039.0,-1015.0949613847805,142.54178472842665,1025.054116143306,-316.0,-1663.0,1663.0
M01,OP00,good,M01_Aug_2019_OP00_006.h5,-4.7303196564885495,468.3073245465711,468.33121415086146,2053.0,-1996.0,2053.0,32.98672695014313,147.8898066986323,151.52398846467224,1953.0,-1795.0,1953.0,-1015.3887836951336,141.02341440165122,1025.1351059559822,-322.0,-1713.0,1713.0
M01,OP00,good,M01_Aug_2019_OP00_007.h5,-4.491036418726236,467.60832897525785,467.6298950400277,2115.0,-1924.0,2115.0,31.903056677756656,139.06711709187786,142.67959938838567,1873.0,-1698.0,1873.0,-1015.1854020615494,141.20707532790084,1024.9589448761005,-353.0,-1645.0,1645.0
M01,OP00,good,M01_Aug_2019_OP00_008.h5,-4.018841692509542,469.1177320293231,469.1349460367297,2012.0,-1996.0,2012.0,34.13162347924618,157.23349774134792,160.89543353777165,2014.0,-1821.0,2014.0,-1015.1868328065362,142.65602516753356,1025.1609859043438,-144.0,-1717.0,1717.0
M01,OP00,good,M01_Aug_2019_OP00_009.h5,-3.7609929778696496,472.05156545267454,472.0665477604828,2213.0,-1950.0,2213.0,31.65757234922179,142.06153718144833,145.546151558199,1924.0,-1922.0,1924.0,-1014.960675310068,151.7597014501583,1026.2437232013215,-273.0,-1672.0,1672.0
M01,OP00,good,M01_Aug_2019_OP00_010.h5,-4.2706569060114505,469.0794897830413,469.0989301261805,2129.0,-2035.0,2129.0,33.734091722328245,144.14661613776676,148.0413316891575,1989.0,-1883.0,1989.0,-1014.7772542938932,134.8769495420151,1023.7014542091907,-257.0,-1655.0,1655.0
M01,OP00,good,M01_Aug_2019_OP00_011.h5,-4.051224803196565,468.65149055153023,468.66900048816655,2221.0,-2006.0,2221.0,32.50433862118321,141.59977698696403,145.2825828238144,1998.0,-1870.0,1998.0,-1014.9802786557728,132.22839958398538,1023.5571873211054,-312.0,-1651.0,1651.0
M01,OP00,good,M01_Aug_2019_OP00_012.h5,-4.23169038141635,467.83170254049696,467.85084065909746,2096.0,-2053.0,2096.0,33.10810881059886,146.5644961260066,150.25744039376102,2049.0,-1918.0,2049.0,-1014.8717212749525,138.12953762669434,1024.2286755449436,-286.0,-1682.0,1682.0
M01,OP00,good,M01_Aug_2019_OP00_013.h5,-3.9709528566316794,469.03345305687725,469.05026228864585,2055.0,-2102.0,2102.0,33.34975846851145,148.607140986027,152.3032788286219,1838.0,-1797.0,1838.0,-1015.1018271409828,138.64797693071048,1024.5267107166803,-327.0,-1723.0,1723.0
M01,OP00,good,M01_Aug_2021_OP00_002.h5,-4.307740189646947,470.1178697838082,470.13760551098983,2215.0,-1977.0,2215.0,32.21090395395992,178.83648171083934,181.71414233416894,2067.0,-1926.0,2067.0,-1013.9626968034352,162.05262710608235,1026.8307574575656,-234.0,-2094.0,2094.0
M01,OP00,good,M01_Aug_2021_OP00_003.h5,-4.124049429657795,469.33703388180186,469.3551524769552,2199.0,-1983.0,2199.0,31.364387773288975,162.82868451632044,165.82190844912094,2151.0,-2014.0,2151.0,-1014.2620343690589,156.91457991229777,1026.328241719731,-263.0,-2053.0,2053.0
M01,OP00,good,M01_Feb_2019_OP00_000.h5,2.230003833770752,465.4129638671875,465.4183349609375,2264.0,-1940.0,2264.0,30.156625747680664,145.96343994140625,149.04612731933594,1054.0,-1110.0,1110.0,-1036.9449462890625,136.8765106201172,1045.93994140625,-374.0,-1813.0,1813.0
M01,OP00,good,M01_Feb_2019_OP00_001.h5,1.9404524564743042,465.6685791015625,465.672607421875,2160.0,-1938.0,2160.0,29.955347061157227,149.45086669921875,152.42337036132812,993.0,-1138.0,1138.0,-1037.3057861328125,141.001953125,1046.84521484375,-306.0,-1868.0,1868.0
M01,OP00,good,M01_Feb_2019_OP00_002.h5,2.2265427112579346,464.0600280761719,464.06536865234375,2258.0,-1942.0,2258.0,29.913516998291016,150.0205841064453,152.9738311767578,1085.0,-1040.0,1085.0,-1037.0621337890625,138.7814483642578,1046.306884765625,-374.0,-1866.0,1866.0
M01,OP00,good,M01_Feb_2019_OP00_003.h5,1.8284810781478882,464.7282409667969,464.7318420410156,2010.0,-1911.0,2010.0,29.82860565185547,153.24111938476562,156.11721801757812,1056.0,-1016.0,1056.0,-1037.0845947265625,143.53741455078125,1046.970703125,-374.0,-1889.0,1889.0
M01,OP00,good,M01_Feb_2019_OP00_004.h5,1.898239016532898,464.55615234375,464.5600280761719,2227.0,-2006.0,2227.0,29.50137710571289,149.0126495361328,151.9049072265625,1044.0,-1054.0,1054.0,-1037.2347412109375,142.92323303222656,1047.0352783203125,-370.0,-1852.0,1852.0
M01,OP00,good,M01_Feb_2020_OP00_001.h5,0.06582104400749064,466.44243958715947,466.44244423125855,2297.0,-2076.0,2297.0,37.8489766210206,144.24199895097715,149.1251128838877,2588.0,-2236.0,2588.0,-1013.0558688845974,191.71669146227094,1031.0370911207638,-214.0,-1778.0,1778.0
M01,OP00,good,M01_Feb_2020_OP00_002.h5,-0.040470224056603776,468.00299600870926,468.0029977585261,2311.0,-2115.0,2311.0,36.79090507075472,143.69424249285683,148.32938354055554,2549.0,-2559.0,2559.0,-1012.8486733490566,183.83307681801756,1029.3964422113197,-156.0,-1871.0,1871.0
M01,OP00,good,M01_Feb_2021_OP00_003.h5,-5.534848057271863,469.30123787605334,469.3338752050752,2125.0,-2119.0,2125.0,32.76389837808935,170.55099990209166,173.66956153722802,1950.0,-1789.0,1950.0,-1013.4982733780894,192.30469690104604,1031.5812360597547,-308.0,-2006.0,2006.0
M01,OP00,good,M01_Feb_2021_OP00_004.h5,-5.624304058908046,471.0805013742699,471.11407490243863,2024.0,-2039.0,2039.0,30.928157177921456,159.70572384534162,162.672889982894,2033.0,-1973.0,2033.0,-1013.8410298431513,174.74878080436383,1028.7909263723282,-302.0,-2106.0,2106.0
M01,OP00,good,M01_Feb_2021_OP00_005.h5,-4.774485153256705,471.39185301241747,471.4160315421605,2172.0,-1977.0,2172.0,33.24403585967433,160.58145884120793,163.98649591905385,2121.0,-1926.0,2121.0,-1013.7606636135057,172.08342937903373,1028.26231563592,-281.0,-2067.0,2067.0
M01,OP00,good,M01_Feb_2021_OP00_006.h5,-4.368398884780534,470.27980848995196,470.30009694041365,2119.0,-1989.0,2119.0,34.77754129890267,167.56744836334988,171.13832747167075,2104.0,-2002.0,2104.0,-1013.3616300393606,193.62523276757574,1031.6940069615255,-228.0,-2086.0,2086.0
M01,OP00,good,M01_Feb_2021_OP00_007.h5,-4.118096296296296,468.8267563325122,468.844842320325,2272.0,-2061.0,2272.0,34.63088888888889,167.90228221141746,171.43650380545282,2065.0,-1883.0,2065.0,-1013.1278481481481,192.08939382880482,1031.1771777511442,-267.0,-2051.0,2051.0
M01,OP00,good,M01_Feb_2021_OP00_008.h5,-3.520869364265267,470.66893953754544,470.6821083985218,2080.0,-2004.0,2080.0,35.21975638120229,161.3545575991073,165.1536390684591,2188.0,-1895.0,2188.0,-1013.1140453542462,174.6074614485876,1028.0505019149427,-286.0,-2178.0,2178.0
M01,OP00,good,M01_Feb_2021_OP00_009.h5,-3.8764275703721376,470.51657387684224,470.5325418964243,2047.0,-2010.0,2047.0,35.1002057490458,160.93095974061347,164.71429278195717,2205.0,-1963.0,2205.0,-1013.0206680880248,178.87108412593054,1028.6912747320712,-251.0,-2030.0,2030.0
M01,OP01,bad,M01_Aug_2019_OP01_000.h5,-0.5931046605110168,447.8716125488281,447.8719787597656,2428.0,-2385.0,2428.0,34.50934982299805,228.08737182617188,230.6832275390625,888.0,-774.0,888.0,-1034.8624267578125,242.0322265625,1062.7886962890625,-310.0,-1717.0,1717.0
M01,OP01,bad,M01_Feb_2019_OP01_000.h5,0.2420509308576584,457.5335998535156,457.5336608886719,2258.0,-2356.0,2356.0,31.681697845458984,176.2740020751953,179.0984344482422,858.0,-876.0,876.0,-1037.5819091796875,223.64344787597656,1061.41064453125,-370.0,-1618.0,1618.0
M01,OP01,good,M01_Aug_2019_OP01_000.h5,-3.491558527542373,424.5801668973687,424.5945231671609,2246.0,-2082.0,2246.0,34.48096530720339,169.52168220238698,172.99288339479068,2110.0,-2022.0,2110.0,-1015.7325211864406,168.82559372550307,1029.6672451294796,-27.0,-1704.0,1704.0
M01,OP01,good,M01_Aug_2019_OP01_001.h5,-3.377727640086207,427.30591259984806,427.31926236339916,2108.0,-2030.0,2108.0,34.345837823275865,171.13701697111958,174.54946334364948,2002.0,-2082.0,2082.0,-1015.5819807381465,168.21097214384926,1029.4181321259093,-269.0,-1690.0,1690.0
M01,OP01,good,M01_Aug_2019_OP01_002.h5,-2.0031105324074074,434.6547903915793,434.6594060435743,2543.0,-2129.0,2543.0,34.27533637152778,164.6313802826351,168.1614999253604,1856.0,-2258.0,2258.0,-1015.748679832176,175.0373098250621,1030.7198651484325,-234.0,-1667.0,1667.0
M01,OP01,good,M01_Aug_2019_OP01_003.h5,-3.1139547413793105,428.1703846750827,428.18170795462487,2264.0,-2322.0,2322.0,34.42153825431034,164.67861112406234,168.23759168967888,1594.0,-1922.0,1922.0,-1015.8061355064655,159.5072291984227,1028.253208650057,-212.0,-1745.0,1745.0
M01,OP01,good,M01_Aug_2019_OP01_004.h5,-3.1384567002118646,424.6443685305822,424.6559662069944,2090.0,-2028.0,2090.0,34.01416843220339,159.9051113268111,163.48274613112588,1944.0,-1817.0,1944.0,-1015.9850205243644,158.74464696802207,1028.311929752298,-218.0,-1600.0,1600.0
M01,OP01,good,M01_Aug_2019_OP01_005.h5,-3.1688294491525424,424.1427078766322,424.15454509529894,2155.0,-2035.0,2155.0,33.83328919491525,159.3781775651564,162.92972393561982,1963.0,-1848.0,1963.0,-1016.0207891949152,159.40931677573565,1028.4500835486208,-306.0,-1754.0,1754.0
M01,OP01,good,M01_Aug_2019_OP01_006.h5,-3.2915375808189653,427.5089136053914,427.521584755329,2141.0,-2117.0,2141.0,33.63916015625,173.98170067570686,177.2039087210807,2110.0,-1914.0,2110.0,-1015.7072332974138,170.9898112376487,1029.9993686016385,-257.0,-1622.0,1622.0
M01,OP01,good,M01_Aug_2019_OP01_007.h5,-2.6087394593253967,414.30158254074973,414.30979570526245,2514.0,-2028.0,2514.0,32.682400173611114,161.30146986873237,164.57917080518308,1752.0,-1684.0,1752.0,-1015.344478546627,193.28618413575265,1033.5782307560864,-253.0,-1694.0,1694.0
M01,OP01,good,M01_Aug_2019_OP01_008.h5,-2.9328697467672415,428.49878950857317,428.50882643799065,2123.0,-2035.0,2123.0,34.623215247844826,161.0134078974297,164.6939117175941,1778.0,-2178.0,2178.0,-1015.6616042564655,164.08467014215287,1028.830536743771,-93.0,-1641.0,1641.0
M01,OP01,good,M01_Aug_2019_OP01_009.h5,-2.6228616648706895,428.67163986301375,428.6796638822028,2139.0,-2158.0,2158.0,33.331492456896555,160.47814159598232,163.9030881939212,1987.0,-2172.0,2172.0,-1015.6721107219828,162.9279211408357,1028.6570584921496,-189.0,-1604.0,1604.0
M01,OP01,good,M01_Aug_2019_OP01_010.h5,-2.9743445444915255,424.6573936132257,424.6678097947235,2348.0,-2217.0,2348.0,32.74382613877118,156.46814381343603,159.85755590095883,1957.0,-1916.0,1957.0,-1015.892280190678,161.42580145786968,1028.6376496742332,-357.0,-1682.0,1682.0
M01,OP01,good,M01_Aug_2019_OP01_011.h5,-3.0957858845338984,423.1716610456259,423.1829847741482,2176.0,-2242.0,2242.0,33.900473384533896,159.35377021626502,162.91981517861382,1848.0,-1985.0,1985.0,-1015.9929985434322,163.3315235149925,1029.0378805772912,-253.0,-1653.0,1653.0
M01,OP01,good,M01_Aug_2019_OP01_012.h5,-2.9945783943965516,428.73896591433044,428.74942378159477,2238.0,-2283.0,2283.0,34.243669181034484,164.5824294120776,168.10712343669925,1836.0,-1846.0,1846.0,-1015.9978448275862,163.58038850332377,1029.0821950637367,-318.0,-1602.0,1602.0
M01,OP01,good,M01_Aug_2019_OP01_013.h5,-2.5546369881465516,427.6287589493791,427.6363895305536,2172.0,-2037.0,2172.0,34.76224070581897,166.313118143008,169.90722952640786,1916.0,-1934.0,1934.0,-1015.6915914601293,166.2895736884814,1029.2140842799943,-366.0,-1768.0,1768.0
M01,OP01,good,M01_Feb_2019_OP01_000.h5,2.269676923751831,423.9693603515625,423.9754638671875,2373.0,-2184.0,2373.0,30.694965362548828,140.43368530273438,143.7490997314453,810.0,-675.0,810.0,-1037.598876953125,165.12486267089844,1050.65576171875,-489.0,-1608.0,1608.0
M01,OP01,good,M01_Feb_2019_OP01_001.h5,2.1991496086120605,423.8206481933594,423.8263854980469,2196.0,-2194.0,2196.0,30.432992935180664,140.84036254882812,144.09085083007812,718.0,-708.0,718.0,-1037.8104248046875,161.82595825195312,1050.3514404296875,-515.0,-1614.0,1614.0
M01,OP01,good,M01_Feb_2019_OP01_002.h5,2.5973470211029053,423.2658386230469,423.2738037109375,2196.0,-2117.0,2196.0,30.199983596801758,142.76046752929688,145.91981506347656,772.0,-757.0,772.0,-1037.7781982421875,163.20664978027344,1050.533203125,-507.0,-1667.0,1667.0
M01,OP01,good,M01_Feb_2019_OP01_003.h5,1.8289716243743896,422.83343505859375,422.8373718261719,2133.0,-1994.0,2133.0,30.350868225097656,140.77005004882812,144.00479125976562,819.0,-694.0,819.0,-1037.5543212890625,167.72544860839844,1051.023681640625,-511.0,-1667.0,1667.0
M01,OP01,good,M01_Feb_2019_OP01_004.h5,2.6904666423797607,418.660400390625,418.6690673828125,2162.0,-2233.0,2233.0,30.44063377380371,139.16392517089844,142.45431518554688,823.0,-728.0,823.0,-1037.853515625,162.79354858398438,1050.54345703125,-495.0,-1672.0,1672.0
