,Commands,delta_X,delta_Y,delta_Z,delta_xy,delta_S,F_val,S,D_W,Toolchange,TurnOp,Material,time_s,cutting_speed_vc
84,0.0,-0.3591269825313768,-1.053603336162908,6.84309559402654,-0.38768657483082575,0.004197867023553382,0.012336440584687847,0.9300110879962574,0.0,0.0,0.0,-0.15848091559839608,-0.4649689954881798,-0.4681156538797545
216,0.0,7.965237960985521,8.662072365868847,4.677885962115636,5.951378975244865,0.03777634477893018,-1.8953823911412822,0.07267128959732083,0.0,0.0,0.0,-0.3652934070230905,-2.9897688535133997,1.415680144285624
231,0.0,-0.1841663642735171,-0.3927870508448529,-0.23835548630962308,-0.1173723087414869,0.039830790258574375,0.2859337349184885,0.5551718065969629,0.0,0.0,0.0,-0.12435060985068555,-0.031095832096886572,0.8290974104571701
9,0.0,-0.3742524998163136,-1.0541705858447394,-0.29765053262782043,-0.507210773800208,-0.2617447143774115,1.4021694151333093,-0.2454284044953935,0.0,0.0,0.0,-0.1678295699183264,-0.04516508336811027,-0.917555969709684
126,0.0,-0.4570527935641044,-1.2768058877637116,-0.3013376622274881,-0.5296529529218874,0.0020536726687165768,-2.401752242171531,-0.27048422866869665,0.0,0.0,0.0,0.14571000672725853,-0.8729382867510125,-1.0509924805224233
60,0.0,-0.2766815100720869,-0.41458786054197416,5.922245532706741,-0.2953249584496393,0.018814338032414064,-0.1822734767585476,0.26168639348240647,0.0,0.0,0.0,0.137759917930012,-0.6614129567789845,0.9731746162800552
55,0.0,-0.4877508684191293,-0.09626769190622225,-0.291019545504943,-0.39972539688864933,0.006123008931731608,-0.34624440818707425,0.027849179256572026,0.0,0.0,0.0,0.16809466435905343,-0.7479402104568298,-0.5603951296918583
198,0.0,-0.4793990814552034,-1.1097727656395973,-0.3010690691899795,-0.6403992830247197,0.16782126308078488,-2.3323732442976577,-0.2814778561304828,0.0,0.0,0.0,-0.15241183243693623,-1.0856115538498434,-0.9855887079171153
111,0.0,0.5129633315275834,-0.004040210598103016,8.107854260977712,7.871049870301038,-0.6538567542020567,2.594417359835614,1.0433706672772156,0.0,0.0,0.0,-0.598174070982922,21.409273501204154,0.11340298312995438
15,0.0,7.965237960985521,8.662072365868847,4.677885962115636,5.951378975244865,0.03777634477893018,-1.8953823911412822,0.07267128959732083,0.0,0.0,0.0,-0.3652934070230905,-2.9897688535133997,1.415680144285624
208,0.0,-0.7931168576409242,-0.8279157260369915,-0.3765107774773655,-0.4862554062728053,-0.6028365670427575,0.3162339600039297,0.17672258952741163,0.0,0.0,0.0,-0.3281588870876691,20.485441799455106,-0.6410777994448829
25,0.0,10.18918682082651,11.360004803963854,1.3515538310032498,8.074517658570729,0.061301789103916725,2.5798219703468597,6.043694233594222,0.0,0.0,0.0,-1.1578113618959525,-2.2389686724424873,6.6173549442667845
155,0.0,7.950035207651483,9.132710349366356,4.640963346807765,5.880469886387658,0.04094116012164585,-2.155496025801941,0.037565156507573576,0.0,0.0,0.0,0.2426059967870827,-3.107862714992748,1.1282376228554087
68,0.0,0.4917526396539137,-0.07490702142800364,8.07063221421005,8.021523462644739,-0.6951466063041052,2.8225686127090546,1.076322065041181,0.0,0.0,0.0,0.4499567231540864,21.81794777768555,0.08674643044365164
200,0.0,-0.4490362793881261,-1.014029915220005,-0.29714245365598807,-0.6213875772985615,-0.0013381361358634253,-2.038905578670845,-0.2706545700214678,0.0,0.0,0.0,-0.18191463581970077,-1.03534321947135,-0.9670693008093066
195,0.0,-0.8095158506309267,-1.1438328706085676,-0.30389293455016325,-0.6084243820037438,-0.002651694053917274,-2.453405439706015,-0.31160065427785677,0.0,0.0,0.0,-0.18087275310965956,-0.2961684081447814,-0.970391136242565
19,0.0,-0.8152255683585982,-0.8170937094866078,-0.3792265934132054,-0.49938172195953656,-0.5882088481499861,1.2615300069156583,-0.21182241419140477,0.0,0.0,0.0,-0.3295686872016584,20.448601239936092,-1.056397979522412
185,0.0,-0.3938120049736749,0.06727049529603647,-0.2950935855796127,-0.5083188636779635,0.005933586155608215,0.007973799552268734,-0.35845066369368794,0.0,0.0,0.0,-0.20331578876554404,-0.6552295392997208,-0.9036263471521893
75,0.0,-0.7239789222091583,-0.8495672231299337,-0.3828680634345807,-0.5333808778654366,0.020948025247993624,-2.2413525810263666,-0.25831170506417533,0.0,0.0,0.0,-0.33254471769198807,20.878707144217163,-1.0779897710126205
24,0.0,10.18918682082651,11.360004803963854,1.3515538310032498,8.074517658570729,0.061301789103916725,2.5798219703468597,6.043694233594222,0.0,0.0,0.0,-1.1578113618959525,-2.2389686724424873,6.6173549442667845
207,0.0,-0.32836240393111166,2.5766749189535867,-0.2693976346248549,-0.30832170681507926,0.006872482393792875,0.01218199924613011,0.3960695818046279,0.0,0.0,0.0,-0.4639221060374764,-0.1754580362710387,-0.5143872102103264
10,0.0,-0.37879120061899657,-1.0883026906005036,-0.2942513910743383,-0.5455591146214851,-0.0001352976997301865,1.447550465691665,-0.26441992079926413,0.0,0.0,0.0,-0.17860070308552595,-0.022723076267920986,-0.9406479911636945
138,0.0,-0.5226061475586237,-1.1764897644060204,-0.2986328250996886,-0.6474696766299395,0.14092467190063382,-2.3669629713046314,-0.2510572847033355,0.0,0.0,0.0,0.11816474440682358,-1.1276420793522308,-1.0374904510583365
186,0.0,-0.43491515613017956,-1.2153057674258794,-0.30402907604964247,-0.5186601297716094,-0.002271146785719946,-2.3769580798450423,-0.30441638691161366,0.0,0.0,0.0,-0.1745786801940124,-0.8506108369437112,-1.0033912354590049
146,0.0,-0.2544473108556834,-0.2234226172634327,-0.28681933469781734,-0.1807242007725799,0.053172513978615214,0.3227128639682417,0.28257609645878207,0.0,0.0,0.0,0.11780358920732552,-0.021143496871078298,-0.4371968743080989
