Commands,delta_X,delta_Y,delta_Z,delta_xy,delta_S,F_val,S,D_W,Toolchange,TurnOp,Material,Workpiece,Filename,ENERGY|x,ENERGY|y,ENERGY|z,ENERGY|S,ENERGY|T,time_s
G1,0.0,0.0,0.0,0.0,0.0,0.003848428250597898,0.0,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,0.0,0.008
G0,0.0,0.0,0.0,0.0,0.0,0.0030220716009887036,0.0,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,0.0,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.008927904459019457,0.0,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,0.0,0.056
G0,0.0,0.0,0.0,0.0,0.0,0.007779027357836391,0.0,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,0.0,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.003065289545866752,0.0,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,0.0,0.008
G0,0.0,0.0,0.0,0.0,0.0,0.003065289545866752,0.0,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,0.0,0.008
G0,0.0,0.0,0.0,0.0,0.0,0.012795987008394703,0.0,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,0.0,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.008152991546533662,0.0,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,0.0,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.009730081963473197,0.0,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,0.0,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.012217386489950282,0.0,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,0.04929255200000001,0.024
