number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
0,7.94871596726972e-06,2026-06-26 21:20:50.919561,2026-06-26 21:20:52.409577,0 days 00:00:01.490016,0.606800356710586,142,9,650,0.382076569018449,0.21903212049359397,COMPLETE
1,7.37165885302049e-06,2026-06-26 21:20:52.418548,2026-06-26 21:20:53.533882,0 days 00:00:01.115334,0.5066987306492523,137,4,750,0.0021401446446964525,0.10002328383919035,COMPLETE
2,8.082539873759274e-06,2026-06-26 21:20:53.542284,2026-06-26 21:20:56.430643,0 days 00:00:02.888359,0.34698079110766156,137,7,550,0.5244293112838727,0.01183248065924308,COMPLETE
3,8.256596936794015e-06,2026-06-26 21:20:56.437619,2026-06-26 21:20:57.137973,0 days 00:00:00.700354,0.36319763803704597,95,7,350,0.006029098370042413,0.2889263175156635,COMPLETE
4,9.421845930358245e-06,2026-06-26 21:20:57.145376,2026-06-26 21:20:59.907005,0 days 00:00:02.761629,0.0735063539217925,128,10,150,3.089430347167773,0.0061388650150924,COMPLETE
5,9.574081551362917e-06,2026-06-26 21:20:59.913554,2026-06-26 21:21:01.521675,0 days 00:00:01.608121,0.0004505803339145409,134,4,350,0.08459106839373276,0.0020708151389508623,COMPLETE
6,7.606855222516629e-06,2026-06-26 21:21:01.527746,2026-06-26 21:21:02.411990,0 days 00:00:00.884244,0.21052002158555327,188,7,300,3.663699119255336,0.22297361035803875,COMPLETE
7,8.157180162091964e-06,2026-06-26 21:21:02.419916,2026-06-26 21:21:03.246076,0 days 00:00:00.826160,0.43701355533125796,74,5,150,0.015953232021378314,0.031589197915087915,COMPLETE
8,8.197168343982532e-06,2026-06-26 21:21:03.252324,2026-06-26 21:21:04.845735,0 days 00:00:01.593411,0.06995981254141515,73,5,300,0.10320312458831278,0.008866806930649835,COMPLETE
9,8.23824379851408e-06,2026-06-26 21:21:04.852169,2026-06-26 21:21:07.554086,0 days 00:00:02.701917,0.8336185837962646,77,7,400,5.026176511406722,0.008515743687542454,COMPLETE
10,8.003031734549275e-06,2026-06-26 21:21:07.560283,2026-06-26 21:21:10.452008,0 days 00:00:02.891725,0.98919008533348,237,9,1000,0.0017820534161616238,0.056666054794181464,COMPLETE
11,7.17802378064389e-06,2026-06-26 21:21:10.458285,2026-06-26 21:21:11.266457,0 days 00:00:00.808172,0.5839101189124213,204,4,900,0.0010735936369055741,0.07740073855538993,COMPLETE
12,7.329505765579701e-06,2026-06-26 21:21:11.275008,2026-06-26 21:21:12.069856,0 days 00:00:00.794848,0.6308170472577058,202,4,900,0.0010977738370586193,0.06674138716599294,COMPLETE
13,7.259097417304032e-06,2026-06-26 21:21:12.076707,2026-06-26 21:21:13.871087,0 days 00:00:01.794380,0.6838737844645009,216,5,950,0.001310241674201445,0.030084788273429936,COMPLETE
14,7.333667704629517e-06,2026-06-26 21:21:13.879170,2026-06-26 21:21:15.951934,0 days 00:00:02.072764,0.7466540471143338,248,5,850,0.008708301335330432,0.023917769134422413,COMPLETE
15,7.495099314603219e-06,2026-06-26 21:21:15.958988,2026-06-26 21:21:18.075017,0 days 00:00:02.116029,0.7847044933604812,200,6,1000,0.005794639848914036,0.024536198056020683,COMPLETE
16,9.005281124189861e-06,2026-06-26 21:21:18.096380,2026-06-26 21:21:23.227103,0 days 00:00:05.130723,0.6359174919051459,174,6,800,0.03529546351812272,0.0012458910452582735,COMPLETE
17,7.411041146964157e-06,2026-06-26 21:21:23.233108,2026-06-26 21:21:24.196154,0 days 00:00:00.963046,0.928099998675886,225,6,700,0.0025297318646909216,0.10039546323213358,COMPLETE
18,7.325654918174325e-06,2026-06-26 21:21:24.196154,2026-06-26 21:21:25.375553,0 days 00:00:01.179399,0.5280157090072664,220,5,900,0.003504872824885266,0.04927206196265701,COMPLETE
19,7.828402299416313e-06,2026-06-26 21:21:25.381778,2026-06-26 21:21:27.103818,0 days 00:00:01.722040,0.6897156769437437,165,4,600,0.021141992821355104,0.0157363023653207,COMPLETE
20,8.054870472363264e-06,2026-06-26 21:21:27.103818,2026-06-26 21:21:27.685772,0 days 00:00:00.581954,0.865449812368818,36,5,950,0.0014938018793423965,0.13916553815635915,COMPLETE
21,7.293162774472096e-06,2026-06-26 21:21:27.685772,2026-06-26 21:21:28.793795,0 days 00:00:01.108023,0.5243093184263498,218,5,850,0.0038140005441678173,0.04682809366610423,COMPLETE
22,7.4639330634911216e-06,2026-06-26 21:21:28.809595,2026-06-26 21:21:30.571395,0 days 00:00:01.761800,0.5265122055519773,255,6,800,0.001075106065017879,0.03844497886968806,COMPLETE
23,8.105876100189052e-06,2026-06-26 21:21:30.571395,2026-06-26 21:21:34.087755,0 days 00:00:03.516360,0.3478749954666291,213,4,900,0.0044820240380030124,0.004250930967983607,COMPLETE
24,7.424235738425394e-06,2026-06-26 21:21:34.090759,2026-06-26 21:21:36.246005,0 days 00:00:02.155246,0.6977817283139895,178,5,800,0.010966880793685052,0.017722498100725577,COMPLETE
25,7.72332807212668e-06,2026-06-26 21:21:36.254454,2026-06-26 21:21:37.064070,0 days 00:00:00.809616,0.4554969939133826,157,4,1000,0.003134126721027922,0.09858675943830021,COMPLETE
26,7.577968531441204e-06,2026-06-26 21:21:37.070180,2026-06-26 21:21:38.209360,0 days 00:00:01.139180,0.5892711625465162,233,6,500,0.03694341609639784,0.07345277028142691,COMPLETE
27,7.3197424506209506e-06,2026-06-26 21:21:38.216740,2026-06-26 21:21:39.710042,0 days 00:00:01.493302,0.4322467717174378,201,5,700,0.003391259859189319,0.03816701879167769,COMPLETE
28,8.069009818159235e-06,2026-06-26 21:21:39.718016,2026-06-26 21:21:41.368077,0 days 00:00:01.650061,0.2378867203437564,189,8,900,0.0010708127119324106,0.15074142338445798,COMPLETE
29,7.3202987266837435e-06,2026-06-26 21:21:41.376337,2026-06-26 21:21:41.989935,0 days 00:00:00.613598,0.7139951676776982,210,4,650,0.009648655608510243,0.16238556086169717,COMPLETE
30,7.4708986379213e-06,2026-06-26 21:21:42.002503,2026-06-26 21:21:43.647935,0 days 00:00:01.645432,0.5803922429574783,239,5,850,0.0021126321688255158,0.02667992929361377,COMPLETE
