number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
0,0.05556751787186918,2026-06-26 21:29:46.742832,2026-06-26 21:29:51.489944,0 days 00:00:04.747112,0.4284794444161504,106,8,950,3.441343163509712,0.00994274867433998,COMPLETE
1,0.05308277208436677,2026-06-26 21:29:51.499155,2026-06-26 21:29:52.309551,0 days 00:00:00.810396,0.6715159042998168,216,4,850,0.010015182311808745,0.04295576816304506,COMPLETE
2,0.054230163586875046,2026-06-26 21:29:52.316679,2026-06-26 21:29:55.467583,0 days 00:00:03.150904,0.9283794550791624,180,9,850,0.005353028242546796,0.01888274713665137,COMPLETE
3,0.05307059923646527,2026-06-26 21:29:55.475227,2026-06-26 21:29:56.405189,0 days 00:00:00.929962,0.8340577578132148,187,5,600,2.7048034061151984,0.06940173859517848,COMPLETE
4,0.15535120620170492,2026-06-26 21:29:56.413696,2026-06-26 21:29:58.813964,0 days 00:00:02.400268,0.8462199468626855,131,8,450,0.02273508183667739,0.0017875934113897132,COMPLETE
5,0.09318647979231448,2026-06-26 21:29:58.822116,2026-06-26 21:29:59.931716,0 days 00:00:01.109600,0.3199315874414095,83,7,250,0.011065771341749561,0.006798175501790099,COMPLETE
6,0.05341688638978024,2026-06-26 21:29:59.941082,2026-06-26 21:30:00.839589,0 days 00:00:00.898507,0.35256945081121605,84,8,500,0.009048729143393209,0.0906898317703093,COMPLETE
7,0.05201615270851305,2026-06-26 21:30:00.847007,2026-06-26 21:30:01.436528,0 days 00:00:00.589521,0.9468565549612076,152,6,150,0.04085243609518967,0.07433968781603653,COMPLETE
8,0.2403994626469624,2026-06-26 21:30:01.446026,2026-06-26 21:30:01.953014,0 days 00:00:00.506988,0.0004111309028382859,107,5,150,0.9665094377757664,0.0018892473767337643,COMPLETE
9,0.11625216697074751,2026-06-26 21:30:01.960489,2026-06-26 21:30:05.802317,0 days 00:00:03.841828,0.36803033290638265,223,8,750,0.00595668514936357,0.0016543436910024807,COMPLETE
10,0.059530604776523964,2026-06-26 21:30:05.810089,2026-06-26 21:30:06.794395,0 days 00:00:00.984306,0.0317039758896539,35,10,350,0.1403881495621796,0.2930560586564594,COMPLETE
11,0.05412549226717965,2026-06-26 21:30:06.800566,2026-06-26 21:30:07.843666,0 days 00:00:01.043100,0.7874316450551913,168,6,600,9.529783546907518,0.1098614669974091,COMPLETE
12,0.059639997219227234,2026-06-26 21:30:07.851789,2026-06-26 21:30:08.253740,0 days 00:00:00.401951,0.9951214174487487,183,5,100,0.15576609566190366,0.04816981347516509,COMPLETE
13,0.054180267114531666,2026-06-26 21:30:08.260767,2026-06-26 21:30:08.723202,0 days 00:00:00.462435,0.6999345776268446,150,6,600,0.0015568027565033154,0.21327504223368837,COMPLETE
14,0.053647359569860456,2026-06-26 21:30:08.729622,2026-06-26 21:30:09.454613,0 days 00:00:00.724991,0.575529260097638,199,4,300,0.29196089660048924,0.03177923122375531,COMPLETE
15,0.05233962193671275,2026-06-26 21:30:09.461385,2026-06-26 21:30:10.154640,0 days 00:00:00.693255,0.8801844197987689,242,6,650,0.054403197622153454,0.10857478650707982,COMPLETE
16,0.05245295526443614,2026-06-26 21:30:10.161490,2026-06-26 21:30:10.667579,0 days 00:00:00.506089,0.997284674208698,245,6,1000,0.041957368166117365,0.15491413122478756,COMPLETE
17,0.052305336036448394,2026-06-26 21:30:10.675219,2026-06-26 21:30:13.022132,0 days 00:00:02.346913,0.5759489087624268,251,7,700,0.061836473622379505,0.013125792238474512,COMPLETE
18,0.08976157585670438,2026-06-26 21:30:13.028968,2026-06-26 21:30:14.711082,0 days 00:00:01.682114,0.2006858242213408,48,7,400,0.34799550658420253,0.004738379357462144,COMPLETE
19,0.057496306915429486,2026-06-26 21:30:14.718463,2026-06-26 21:30:15.823791,0 days 00:00:01.105328,0.5854338792896858,159,7,250,0.0016874231028424743,0.01579283473559579,COMPLETE
20,0.07235483377346807,2026-06-26 21:30:15.830628,2026-06-26 21:30:23.042508,0 days 00:00:07.211880,0.5038581302302033,139,10,700,0.0632534621534499,0.0033627124456371933,COMPLETE
21,0.05202326167541475,2026-06-26 21:30:23.049168,2026-06-26 21:30:24.555695,0 days 00:00:01.506527,0.740595442939385,251,6,750,0.05007443454448486,0.023276665892241838,COMPLETE
22,0.052718230644199435,2026-06-26 21:30:24.563122,2026-06-26 21:30:26.512691,0 days 00:00:01.949569,0.7436096956549673,253,7,850,0.018520955388639994,0.01687670717849123,COMPLETE
23,0.0529701010508587,2026-06-26 21:30:26.518579,2026-06-26 21:30:27.677127,0 days 00:00:01.158548,0.624916157496151,220,5,750,0.13725340097875324,0.02532261006212384,COMPLETE
24,0.05401562594271814,2026-06-26 21:30:27.684513,2026-06-26 21:30:29.232944,0 days 00:00:01.548431,0.49563222304207966,232,6,500,0.03677416341168854,0.011909883007404252,COMPLETE
25,0.051871587509227615,2026-06-26 21:30:29.239414,2026-06-26 21:30:30.255967,0 days 00:00:01.016553,0.7638245784342865,204,7,900,0.46319523275325347,0.058916194678421865,COMPLETE
26,0.05513847262304614,2026-06-26 21:30:30.262714,2026-06-26 21:30:31.976194,0 days 00:00:01.713480,0.7773286005862892,203,9,950,0.8888910201251973,0.06089495706224761,COMPLETE
27,0.05196447629435054,2026-06-26 21:30:31.983150,2026-06-26 21:30:33.411172,0 days 00:00:01.428022,0.9221047877322384,211,6,900,0.5676168156340147,0.03227082649042857,COMPLETE
28,0.0524795442429421,2026-06-26 21:30:33.417307,2026-06-26 21:30:34.402502,0 days 00:00:00.985195,0.928247726765438,201,5,900,0.8472953402518449,0.03985562105122391,COMPLETE
29,0.0552704556334512,2026-06-26 21:30:34.410069,2026-06-26 21:30:35.550861,0 days 00:00:01.140792,0.8900118943284276,124,8,1000,2.318042897869612,0.14736241539000772,COMPLETE
30,0.05293929850005465,2026-06-26 21:30:35.557119,2026-06-26 21:30:38.815934,0 days 00:00:03.258815,0.8183689782941954,173,7,900,0.42867919853918174,0.00860613071185841,COMPLETE
31,0.05226189889770966,2026-06-26 21:30:38.822904,2026-06-26 21:30:40.120634,0 days 00:00:01.297730,0.7249325530040653,233,6,800,0.1861853399072786,0.026550977946693925,COMPLETE
32,0.054424310620786544,2026-06-26 21:30:40.127892,2026-06-26 21:30:41.445565,0 days 00:00:01.317673,0.941767352077757,212,6,900,7.462835894310423,0.06922620476394188,COMPLETE
33,0.052684304914339994,2026-06-26 21:30:41.452209,2026-06-26 21:30:42.457205,0 days 00:00:01.004996,0.6456411200512163,192,4,950,1.3160886022379696,0.04081515351597292,COMPLETE
34,0.052778563055338915,2026-06-26 21:30:42.464521,2026-06-26 21:30:44.310124,0 days 00:00:01.845603,0.7660695460962552,212,7,850,0.512846103464634,0.020673405646392872,COMPLETE
35,0.05223202115031006,2026-06-26 21:30:44.316745,2026-06-26 21:30:45.176006,0 days 00:00:00.859261,0.8460661071148748,234,6,800,0.08305023054200293,0.05762835488332501,COMPLETE
