number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.18349462113410148,2026-06-26 21:25:43.644245,2026-06-26 21:25:43.978549,0 days 00:00:00.334304,0.6803152337894836,0.00560660971840756,6,5,100,1.162377572482116e-06,3.9512799877174506e-06,0.8370526291794588,COMPLETE
1,0.05909612596958178,2026-06-26 21:25:43.985846,2026-06-26 21:25:52.666235,0 days 00:00:08.680389,0.7667565472139357,0.04052624891667751,9,4,1000,0.033700427227362384,1.2866648159767286e-06,0.9411288169988501,COMPLETE
2,0.2500712161845585,2026-06-26 21:25:52.682234,2026-06-26 21:25:53.652076,0 days 00:00:00.969842,0.5334851390289217,0.0023895013679985657,8,9,100,0.7104805439377635,1.3918434918146517e-07,0.7237749879045414,COMPLETE
3,0.06759277352776698,2026-06-26 21:25:53.652076,2026-06-26 21:26:01.028796,0 days 00:00:07.376720,0.7131106425793325,0.16301796744982927,8,10,650,9.507330833140624e-06,1.9175151372296966e-05,0.7551560568689406,COMPLETE
4,0.05666117973999742,2026-06-26 21:26:01.035686,2026-06-26 21:26:02.880676,0 days 00:00:01.844990,0.8305955813283772,0.09429302821204227,8,4,150,0.07053038704660011,3.549506648638988e-06,0.6331413183497495,COMPLETE
5,0.13299836750153432,2026-06-26 21:26:02.886710,2026-06-26 21:26:09.604138,0 days 00:00:06.717428,0.5951472099251502,0.0021031493992698814,9,4,500,1.2698637133494618e-08,2.7244118988095432e-08,0.6512016927326248,COMPLETE
6,0.057980318803192654,2026-06-26 21:26:09.611717,2026-06-26 21:26:12.953698,0 days 00:00:03.341981,0.8905310558419177,0.2687431894710613,9,2,700,7.570550840509123e-06,0.14693789186000036,0.9867784187639509,COMPLETE
7,0.05670256867188184,2026-06-26 21:26:12.960666,2026-06-26 21:26:20.496128,0 days 00:00:07.535462,0.8212264258637958,0.023391506288756986,9,2,550,1.2735486871349758e-07,2.1387662780269975e-07,0.9226488345344013,COMPLETE
8,0.05897145040749453,2026-06-26 21:26:20.503655,2026-06-26 21:26:30.153976,0 days 00:00:09.650321,0.6301329549438592,0.05707548387016754,9,6,750,9.731078209932251e-08,1.6043264398728157e-05,0.9084694384343333,COMPLETE
9,0.05555682713703973,2026-06-26 21:26:30.161004,2026-06-26 21:26:36.676641,0 days 00:00:06.515637,0.5456065147680579,0.009923955490292936,6,6,700,1.3805106959650298e-06,2.461546479177412e-08,0.9538847583167601,COMPLETE
10,0.06068228353829384,2026-06-26 21:26:36.683665,2026-06-26 21:26:42.597061,0 days 00:00:05.913396,0.9852266127681084,0.01087412903386953,3,8,1000,0.00039271814858790843,0.0034219179976337235,0.5117124194078987,COMPLETE
11,0.06071244701208315,2026-06-26 21:26:42.605358,2026-06-26 21:26:45.962161,0 days 00:00:03.356803,0.9995282038016076,0.09788877529475705,6,7,350,0.0010412041750596111,0.00036181988352393553,0.5692381865278727,COMPLETE
12,0.05720370171613526,2026-06-26 21:26:45.969908,2026-06-26 21:26:48.938363,0 days 00:00:02.968455,0.5356559695809099,0.016962934706611713,6,4,300,0.0013700506669539658,1.1308840181111246e-08,0.8063638148658654,COMPLETE
13,0.06787552408889844,2026-06-26 21:26:48.946830,2026-06-26 21:26:55.022592,0 days 00:00:06.075762,0.8794807854435727,0.00660051664907713,4,6,850,0.4759181348089329,0.00017694889415516242,0.6435635031800268,COMPLETE
14,0.21356638141996695,2026-06-26 21:26:55.031145,2026-06-26 21:26:58.380094,0 days 00:00:03.348949,0.7798864245436689,0.0011513887407006982,7,3,300,8.326824146756593e-05,6.743249445760651e-07,0.6587300033060828,COMPLETE
15,0.054158733774718734,2026-06-26 21:26:58.388298,2026-06-26 21:27:01.763795,0 days 00:00:03.375497,0.8966802129989716,0.04715556251284799,5,1,400,0.013223789267556574,5.899904238402937e-08,0.8288680743828617,COMPLETE
16,0.05402659625885643,2026-06-26 21:27:01.770851,2026-06-26 21:27:05.593609,0 days 00:00:03.822758,0.9289177005617646,0.031308416901189594,5,1,450,0.004591596297712032,7.150429909059153e-08,0.8314274581253996,COMPLETE
17,0.053503334501547005,2026-06-26 21:27:05.601664,2026-06-26 21:27:08.833905,0 days 00:00:03.232241,0.9232406209743296,0.031894597519312395,4,1,450,0.0070348849568311255,1.28275221843013e-07,0.8540677482894615,COMPLETE
18,0.05260935515473468,2026-06-26 21:27:08.840068,2026-06-26 21:27:11.786771,0 days 00:00:02.946703,0.917188323256261,0.023123322075271915,3,1,500,0.006422046955902439,0.565169907511806,0.8789821887690612,COMPLETE
19,0.05241527090363104,2026-06-26 21:27:11.793803,2026-06-26 21:27:15.263066,0 days 00:00:03.469263,0.9354012948446817,0.020029442794573363,3,2,600,0.00015577050663840664,0.34338567540748854,0.8774879422366489,COMPLETE
20,0.05381478195077403,2026-06-26 21:27:15.269261,2026-06-26 21:27:18.825427,0 days 00:00:03.556166,0.9506885552931458,0.015369289992401914,3,2,600,9.095307852786793e-05,0.8126422851603905,0.8947676377174751,COMPLETE
21,0.05359124106996286,2026-06-26 21:27:18.832926,2026-06-26 21:27:22.389457,0 days 00:00:03.556531,0.9403839865589033,0.024080214693313933,4,1,500,0.00013598688066257606,0.022695972714298324,0.8697886553050499,COMPLETE
22,0.05879280829878034,2026-06-26 21:27:22.397861,2026-06-26 21:27:27.968458,0 days 00:00:05.570597,0.8517309889475074,0.07760230483798816,4,3,800,0.006545812089489772,0.8219148190884054,0.7754071317264022,COMPLETE
23,0.11846822865615292,2026-06-26 21:27:27.976499,2026-06-26 21:27:29.488340,0 days 00:00:01.511841,0.9578526595259259,0.005778096819807181,3,2,250,0.12044686360827452,0.03295858533106182,0.8661614068381843,COMPLETE
