number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
0,0.5339987351606889,2026-06-26 21:33:58.531542,2026-06-26 21:33:59.331310,0 days 00:00:00.799768,0.7640647654733821,199,4,650,3.87994865990984,0.11079125245824298,COMPLETE
1,1.4247259896048567,2026-06-26 21:33:59.335511,2026-06-26 21:34:01.644507,0 days 00:00:02.308996,0.12016113722532895,210,8,950,0.005625641343227019,0.005993616627229792,COMPLETE
2,1.0124014122649223,2026-06-26 21:34:01.649833,2026-06-26 21:34:02.181834,0 days 00:00:00.532001,0.10556820889054541,68,7,250,0.05318552756355885,0.05729021225493494,COMPLETE
3,2.148870812154578,2026-06-26 21:34:02.186745,2026-06-26 21:34:05.230490,0 days 00:00:03.043745,0.4921613944600288,161,10,700,4.267989304746428,0.009278917096545696,COMPLETE
4,1.3964808942307447,2026-06-26 21:34:05.235635,2026-06-26 21:34:06.298922,0 days 00:00:01.063287,0.014036773502106636,250,8,750,0.008537941659313222,0.267361551040428,COMPLETE
5,0.7393812446540637,2026-06-26 21:34:06.303175,2026-06-26 21:34:07.279450,0 days 00:00:00.976275,0.7433398324376509,71,6,650,0.0024194094292278577,0.03415255625713301,COMPLETE
6,1.3750404816850612,2026-06-26 21:34:07.284288,2026-06-26 21:34:09.544793,0 days 00:00:02.260505,0.7041109354234591,250,9,850,0.061475938705462,0.15141579353267054,COMPLETE
7,2.4809715432576134,2026-06-26 21:34:09.548549,2026-06-26 21:34:10.182973,0 days 00:00:00.634424,0.8969751551866038,145,8,250,1.781328172941496,0.015189219378703033,COMPLETE
8,0.8692250850622847,2026-06-26 21:34:10.186907,2026-06-26 21:34:10.665111,0 days 00:00:00.478204,0.45046158521293456,102,4,450,0.2199917477632579,0.02549374904021888,COMPLETE
9,6.5507120796042,2026-06-26 21:34:10.670143,2026-06-26 21:34:11.385274,0 days 00:00:00.715131,0.5462649273079211,182,8,300,0.31966304298299975,0.00349445161734421,COMPLETE
10,12.854010562460218,2026-06-26 21:34:11.389235,2026-06-26 21:34:11.565191,0 days 00:00:00.175956,0.25514513734207733,114,4,100,0.001115399222674608,0.0013436513674415784,COMPLETE
11,0.8008565862857455,2026-06-26 21:34:11.569257,2026-06-26 21:34:12.401120,0 days 00:00:00.831863,0.9258432968075384,47,6,550,0.7616080755798088,0.06440768783523793,COMPLETE
12,0.8332087433679435,2026-06-26 21:34:12.405453,2026-06-26 21:34:13.115285,0 days 00:00:00.709832,0.7325555324881979,34,5,600,8.71897367003943,0.05517321815065306,COMPLETE
13,0.8432287477773969,2026-06-26 21:34:13.120197,2026-06-26 21:34:13.865851,0 days 00:00:00.745654,0.7400845073847354,92,6,500,0.0010662021400910458,0.1063810198877973,COMPLETE
14,0.7169601877925702,2026-06-26 21:34:13.870886,2026-06-26 21:34:14.733300,0 days 00:00:00.862414,0.9956507852400814,210,5,700,0.017392862988396696,0.025460007691056517,COMPLETE
15,0.6898693757244901,2026-06-26 21:34:14.736980,2026-06-26 21:34:15.457985,0 days 00:00:00.721005,0.9791243046905665,211,5,800,0.028286467583644677,0.2225504049748288,COMPLETE
16,0.7090955386183215,2026-06-26 21:34:15.473890,2026-06-26 21:34:16.183808,0 days 00:00:00.709918,0.8602459721785788,209,5,1000,0.05855481054287835,0.23970371105333135,COMPLETE
17,0.35072405183752664,2026-06-26 21:34:16.189253,2026-06-26 21:34:16.942895,0 days 00:00:00.753642,0.6056361078816328,188,4,850,0.2485007111170979,0.1111706912526011,COMPLETE
18,0.48363489828252176,2026-06-26 21:34:16.946916,2026-06-26 21:34:17.722582,0 days 00:00:00.775666,0.5969235678196682,174,4,900,1.4198111656927817,0.10593221226186132,COMPLETE
19,0.4870356971474178,2026-06-26 21:34:17.727703,2026-06-26 21:34:18.534057,0 days 00:00:00.806354,0.5872975178321959,137,4,900,0.25970316023246476,0.08408536485942711,COMPLETE
20,0.40816382027640136,2026-06-26 21:34:18.538377,2026-06-26 21:34:19.375680,0 days 00:00:00.837303,0.4050352853716561,175,4,1000,0.8771825754192941,0.15170382293485246,COMPLETE
21,0.3933814535667047,2026-06-26 21:34:19.379935,2026-06-26 21:34:20.269693,0 days 00:00:00.889758,0.3702668663874323,174,4,1000,1.2631281898576745,0.1599864190186511,COMPLETE
22,0.7201857383986503,2026-06-26 21:34:20.280307,2026-06-26 21:34:21.310565,0 days 00:00:01.030258,0.3548858917242214,146,5,1000,0.5814586635650095,0.16435704828713232,COMPLETE
23,0.5691082850054221,2026-06-26 21:34:21.315255,2026-06-26 21:34:22.144376,0 days 00:00:00.829121,0.3774509913463762,185,4,850,0.1651738369786741,0.03959357369047659,COMPLETE
24,0.6468068178423004,2026-06-26 21:34:22.149876,2026-06-26 21:34:23.137880,0 days 00:00:00.988004,0.29229425122018515,233,5,1000,0.975501928559244,0.1643253314505681,COMPLETE
25,0.5177945372191716,2026-06-26 21:34:23.143203,2026-06-26 21:34:23.857940,0 days 00:00:00.714737,0.41625485420834496,165,4,900,3.2072853401629264,0.2981954541823167,COMPLETE
26,0.8337988552069406,2026-06-26 21:34:23.862192,2026-06-26 21:34:24.916661,0 days 00:00:01.054469,0.21608747513943402,128,6,800,0.11288328430493948,0.14946504942918687,COMPLETE
27,0.634137886806702,2026-06-26 21:34:24.921757,2026-06-26 21:34:25.658945,0 days 00:00:00.737188,0.6483943000817824,229,4,950,0.5438648869994451,0.07725909438048557,COMPLETE
28,0.8792226482606713,2026-06-26 21:34:25.663106,2026-06-26 21:34:26.618565,0 days 00:00:00.955459,0.3350573765959475,158,5,800,9.494203744395469,0.04268952959688586,COMPLETE
29,0.5268318221381736,2026-06-26 21:34:26.622954,2026-06-26 21:34:27.543453,0 days 00:00:00.920499,0.5317754749517127,192,4,950,3.3177414049587024,0.09576748654112653,COMPLETE
30,0.4199792768744586,2026-06-26 21:34:27.547463,2026-06-26 21:34:28.346141,0 days 00:00:00.798678,0.46041266649934975,227,4,850,0.3923488822978607,0.1370634218448014,COMPLETE
31,0.36486932405447553,2026-06-26 21:34:28.349877,2026-06-26 21:34:29.128401,0 days 00:00:00.778524,0.4774968441167677,224,4,850,0.4629278820936265,0.14492552419824087,COMPLETE
