number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.6372598334170585,2026-06-26 21:33:08.805425,2026-06-26 21:33:09.624189,0 days 00:00:00.818764,0.8822365549651286,0.08224330562287262,8,7,600,0.17165790193197078,1.6351636555195446e-07,0.6348819640889256,COMPLETE
1,8.361941113617458,2026-06-26 21:33:09.630170,2026-06-26 21:33:10.529853,0 days 00:00:00.899683,0.5157993138985633,0.0011322910706049085,8,2,550,0.1797593405311508,0.0004721233272845619,0.9327293771986775,COMPLETE
2,0.4056012509332616,2026-06-26 21:33:10.535924,2026-06-26 21:33:11.465171,0 days 00:00:00.929247,0.556896103659842,0.06709110225501734,10,3,900,0.31517218863047786,4.4410021317732996e-05,0.8172104703227914,COMPLETE
3,0.5672719663054087,2026-06-26 21:33:11.471478,2026-06-26 21:33:12.556149,0 days 00:00:01.084671,0.9889578526756062,0.12385892984729692,10,6,850,0.0014736933481714226,1.3892345894053033e-05,0.6945950136627328,COMPLETE
4,3.7526994144096073,2026-06-26 21:33:12.562202,2026-06-26 21:33:13.254235,0 days 00:00:00.692033,0.700255422396187,0.0024030159130277798,3,7,800,0.09423555496300139,0.0009652375210457177,0.8760363896457866,COMPLETE
5,4.285929097982509,2026-06-26 21:33:13.259303,2026-06-26 21:33:14.447950,0 days 00:00:01.188647,0.9658092151904709,0.0013879178353431879,10,7,950,0.16789626591873594,2.962628733974091e-07,0.9860139857557717,COMPLETE
6,0.4959909307678302,2026-06-26 21:33:14.453211,2026-06-26 21:33:14.949610,0 days 00:00:00.496399,0.7329763983512503,0.10724862935157924,10,2,300,3.771645673848334e-06,3.882481374863454e-07,0.9973296716084934,COMPLETE
7,12.946540529419561,2026-06-26 21:33:14.956991,2026-06-26 21:33:15.196244,0 days 00:00:00.239253,0.6107789067957718,0.0010841444707309638,9,1,100,0.0018529499524778895,0.0005142833150703789,0.8452879079068982,COMPLETE
8,0.46340682551576046,2026-06-26 21:33:15.202224,2026-06-26 21:33:16.028396,0 days 00:00:00.826172,0.6232037243779565,0.02479886732627734,8,3,500,0.0002768409832511617,0.001048727873019053,0.8271327625593947,COMPLETE
9,0.6041443157531247,2026-06-26 21:33:16.035372,2026-06-26 21:33:17.040352,0 days 00:00:01.004980,0.8012475986434267,0.034937388524750465,5,5,800,1.534354550641288e-08,0.009731759547626784,0.5998823551021075,COMPLETE
10,9.021569618602179,2026-06-26 21:33:17.046503,2026-06-26 21:33:17.195716,0 days 00:00:00.149213,0.5016391530929923,0.007256135393409256,6,10,100,1.7876903579633484e-08,0.21685702903844545,0.5031836998966766,COMPLETE
11,0.552359871832383,2026-06-26 21:33:17.200115,2026-06-26 21:33:17.968910,0 days 00:00:00.768795,0.6052444042783549,0.018607306628875418,7,4,550,0.00014606518586772647,1.5242406317845435e-05,0.7782097216259599,COMPLETE
12,0.4848316908502602,2026-06-26 21:33:17.974063,2026-06-26 21:33:18.562546,0 days 00:00:00.588483,0.6033812444825517,0.2842211348854004,8,3,350,5.963245332157489e-06,3.509829398285439e-05,0.7765918250431965,COMPLETE
13,0.4007162233454288,2026-06-26 21:33:18.568602,2026-06-26 21:33:20.276876,0 days 00:00:01.708274,0.6776107057730304,0.0177488088422878,9,3,1000,0.005025301400708016,0.020873330661736064,0.7804917660799358,COMPLETE
14,0.7599979126805261,2026-06-26 21:33:20.282938,2026-06-26 21:33:21.640538,0 days 00:00:01.357600,0.6997037507761873,0.00686602088244573,9,4,950,0.011234188255685361,0.6100178226247207,0.735035154579125,COMPLETE
15,0.3801009088819539,2026-06-26 21:33:21.646156,2026-06-26 21:33:22.737511,0 days 00:00:01.091355,0.7668972656425146,0.045290550459660975,9,1,1000,0.011923913416176735,1.1920490371897471e-08,0.8973216199302314,COMPLETE
16,0.26682933898512395,2026-06-26 21:33:22.742607,2026-06-26 21:33:24.124125,0 days 00:00:01.381518,0.7875043095712937,0.013688927558143585,6,1,1000,0.014405763295982671,1.1625240428364088e-08,0.9126620351352797,COMPLETE
17,0.683165132877983,2026-06-26 21:33:24.130106,2026-06-26 21:33:24.915789,0 days 00:00:00.785683,0.7941355222533732,0.008109890138258202,4,1,700,3.4752171692789586e-05,1.1400300345276245e-08,0.9101594627354221,COMPLETE
18,0.26249256512012764,2026-06-26 21:33:24.921769,2026-06-26 21:33:25.993573,0 days 00:00:01.071804,0.8118405811785095,0.04115583192928919,6,1,1000,0.028094289426109507,1.285645773298463e-08,0.9472466503652139,COMPLETE
19,0.5931008700998763,2026-06-26 21:33:25.999814,2026-06-26 21:33:26.939911,0 days 00:00:00.940097,0.8667941221481034,0.010686505111390918,6,2,700,0.9661272353822815,5.09614537916987e-08,0.9315158480927767,COMPLETE
20,1.6958294765249253,2026-06-26 21:33:26.945284,2026-06-26 21:33:27.935021,0 days 00:00:00.989737,0.8898796084490205,0.0030552211059634024,5,1,750,0.02688340184185335,1.92298332068549e-06,0.9608504078373442,COMPLETE
21,0.28132256499654984,2026-06-26 21:33:27.940138,2026-06-26 21:33:29.091277,0 days 00:00:01.151139,0.7903417354629081,0.04749134029717999,6,1,1000,0.022894197557923882,1.1307355065771765e-08,0.8749139141581981,COMPLETE
22,0.47055757925318165,2026-06-26 21:33:29.097626,2026-06-26 21:33:30.297351,0 days 00:00:01.199725,0.8373750541407461,0.045767569318545864,6,2,900,0.03848826992325216,5.580957551154986e-08,0.8715072526760672,COMPLETE
23,0.34665561140733936,2026-06-26 21:33:30.304458,2026-06-26 21:33:31.079587,0 days 00:00:00.775129,0.9269264024558446,0.1710574417928327,5,1,1000,0.0013133838327359284,1.5628027792836365e-06,0.9507806704314256,COMPLETE
24,0.5055271619468789,2026-06-26 21:33:31.084692,2026-06-26 21:33:32.555746,0 days 00:00:01.471054,0.8214103687423973,0.013899473399128049,7,2,900,0.0044361914934587035,4.387826601184396e-08,0.8668382099439037,COMPLETE
25,0.6150096300354151,2026-06-26 21:33:32.563061,2026-06-26 21:33:33.603983,0 days 00:00:01.040922,0.7564319472175505,0.029284248702589638,7,10,850,0.0004252891639628814,1.0389124576825863e-08,0.905227481665289,COMPLETE
26,0.9814854728326974,2026-06-26 21:33:33.609246,2026-06-26 21:33:34.761990,0 days 00:00:01.152744,0.7455033663782067,0.004450101293745393,4,1,1000,0.7256990460137731,1.391547471218083e-06,0.9738843759891231,COMPLETE
27,0.47061716533383907,2026-06-26 21:33:34.766055,2026-06-26 21:33:36.282088,0 days 00:00:01.516033,0.8322688902303316,0.05837640410304701,6,4,900,0.0481157164166803,1.0107631703179458e-07,0.8142608347291207,COMPLETE
28,0.5336167270226545,2026-06-26 21:33:36.288145,2026-06-26 21:33:37.281407,0 days 00:00:00.993262,0.6655966501948944,0.026604027785429304,4,2,800,0.013894241369812028,5.02504520381843e-07,0.9164991184364735,COMPLETE
29,0.42042114511349665,2026-06-26 21:33:37.286724,2026-06-26 21:33:38.186930,0 days 00:00:00.900206,0.8841486347049892,0.08885343997047868,5,1,700,1.4482619162890892e-07,2.8222730626451682e-08,0.6791187419781791,COMPLETE
30,0.39663589345670064,2026-06-26 21:33:38.192992,2026-06-26 21:33:39.551218,0 days 00:00:01.358226,0.7826588333846334,0.16179904988917823,7,9,950,7.437818041619082e-05,1.300802916596572e-07,0.852781913781012,COMPLETE
31,0.3670956279222756,2026-06-26 21:33:39.556280,2026-06-26 21:33:40.429300,0 days 00:00:00.873020,0.8970529128644893,0.2455401291257336,5,1,1000,0.0010153033993968654,1.9341987755810442e-06,0.9533676302442298,COMPLETE
32,0.6594443733006667,2026-06-26 21:33:40.434326,2026-06-26 21:33:41.452644,0 days 00:00:01.018318,0.9422507486623871,0.1505598786139695,6,2,1000,0.004776321441898748,9.248140556071042e-07,0.9474515494674711,COMPLETE
33,0.38486338063400527,2026-06-26 21:33:41.458698,2026-06-26 21:33:42.279727,0 days 00:00:00.821029,0.9371085672252497,0.07522516328008289,5,1,850,0.208291181051662,2.591691226263703e-08,0.9332322319319442,COMPLETE
